,train_cohort,test_cohort,ROC,PRC,F1,ACC,MCC,mode,best_C,transfer,test_cohort_RGC,positive_transfer,negative_transfer
3548,Ravi-1,Freeman,0.5018939393939394,0.4638628874285559,0.4166666666666667,0.5882352941176471,0.0984848484848484,CD8,0.1,Ravi-1$\mapsto$Freeman,0.5432525951557093,True,False
3549,Ravi-1,Miao,0.5,0.2629564879564879,0.3636363636363636,0.5882352941176471,0.0635641726163728,CD8,0.1,Ravi-1$\mapsto$Miao,0.5847750865051904,True,False
3550,Ravi-1,Riaz,0.646341463414634,0.4694602612757775,0.3333333333333333,0.5294117647058824,0.0891064670859968,CD8,0.1,Ravi-1$\mapsto$Riaz,0.6847366397539408,False,True
3551,Ravi-1,Rose,0.589041095890411,0.2215484188859352,0.3703703703703703,0.6179775280898876,0.1874350474884981,CD8,0.1,Ravi-1$\mapsto$Rose,0.7050877414467871,False,True
3552,Ravi-1,Ravi-2,0.3897058823529412,0.3836382002570461,0.3,0.44,-0.144174197050036,CD8,0.1,Ravi-1$\mapsto$Ravi-2,0.5648000000000001,False,True
3553,Ravi-1,Snyder,0.5408163265306123,0.3412250865258384,0.5,0.6190476190476191,0.2041241452319315,CD8,0.1,Ravi-1$\mapsto$Snyder,0.5555555555555555,True,False
3554,Ravi-1,Zhao,0.4090909090909091,0.4472861926104288,0.3999999999999999,0.52,0.0067151913668781,CD8,0.1,Ravi-1$\mapsto$Zhao,0.5072000000000001,True,False
3555,Ravi-2,Allen,0.363905325443787,0.2536749641225665,0.3428571428571428,0.4102564102564102,-0.1462544848254261,CD8,0.1,Ravi-2$\mapsto$Allen,0.5555555555555556,False,True
3556,Ravi-2,Choueiri,0.2564102564102564,0.1258352758352758,0.0,0.3125,-0.4803844614152613,CD8,0.1,Ravi-2$\mapsto$Choueiri,0.6953125,False,True
3557,Ravi-2,Gide,0.1795454545454545,0.380683315602902,0.282051282051282,0.2328767123287671,-0.5411359283578128,CD8,0.1,Ravi-2$\mapsto$Gide,0.5045974854569337,False,True
3558,Ravi-2,Hugo,0.5059523809523809,0.5756952046899741,0.4615384615384615,0.4615384615384615,-0.0714285714285714,CD8,0.1,Ravi-2$\mapsto$Hugo,0.5029585798816568,False,True
3559,Ravi-2,IMVigor210,0.4123401534526854,0.1870788799716774,0.2488038277511961,0.4731543624161073,-0.0988871968435048,CD8,0.1,Ravi-2$\mapsto$IMVigor210,0.6477636142516103,False,True
3560,Ravi-2,IMmotion150,0.3037749287749288,0.2038166539291534,0.2325581395348837,0.4,-0.2285843324518627,CD8,0.1,Ravi-2$\mapsto$IMmotion150,0.5874380165289257,False,True
3561,Ravi-2,Kim,0.2272727272727272,0.1704546406850459,0.064516129032258,0.3555555555555555,-0.4137519201814166,CD8,0.1,Ravi-2$\mapsto$Kim,0.6088888888888889,False,True
3562,Ravi-2,Liu,0.4781966001478197,0.3944645543885793,0.4166666666666667,0.4766355140186916,-0.041338139610378,CD8,0.1,Ravi-2$\mapsto$Liu,0.5272949602585378,False,True
