,loo_sample,feature,exvar
7137,158,Naive_Tcell,0.014304819213887598
7138,158,Neutrophil,0.003212648914192151
7139,158,OS_effect,0.00022671856990363892
7140,158,PLFcell,0.0071878013001666075
7141,158,Pancreatic,0.033893141924740244
7142,158,Platelet,0.025416886787649307
7143,158,Pneumocyte,0.03188965759385631
7144,158,Stem,0.018680530432676812
7145,158,Stroma,0.0007058271183173481
7146,158,TGFb_pathway,0.06932991940082
7147,158,TLS,0.008009065018251604
7148,158,TMB,0.10915348560122262
7149,158,Tcell_exclusion,0.042884459331419156
7150,158,Tcell_general,5.58456125787643e-08
7151,158,Treg,0.002704856402521938
7152,158,cDC,0.0034010868025328156
7153,158,pDC,0.0017840462504271626
7154,158,Reference,0.040482316741540125
7155,159,Adipocyte,0.0011492306255372897
7156,159,Apoptosis_pathway,0.03282058689482048
7157,159,Bcell,0.0029014827616846706
7158,159,CD4_Tcell,0.0003427691397854815
7159,159,CD8_Tcell,0.16663045824696754
7160,159,CPI_Response,0.07132117572548446
7161,159,CPI_effect,0.009270032556964236
7162,159,Cytokine_chemokine,0.008983929587082273
7163,159,Cytotoxic_Tcell,0.014415706196537204
7164,159,Endothelial,0.025405599205110763
7165,159,Epithelial,0.02177750030004677
7166,159,Erythrocyte,0.010235299520240049
7167,159,Exhausted_Tcell,0.050167760217581514
7168,159,Fibroblast,0.010307964924971103
7169,159,Granulocyte,0.022020221702117815
7170,159,Hepatocyte,0.015406468129413375
7171,159,IFNg_pathway,0.1411361440863057
7172,159,Immune_checkpoint,0.01807281454911791
7173,159,Immune_score,0.04029719304688906
7174,159,Innate_lymphoid_cell,0.0006299681689857506
7175,159,Macrophage,0.02723268520175126
7176,159,Mast,0.002302692676414031
7177,159,Memory_Tcell,0.015399883320046603
7178,159,Mesothelial,0.035921097405661406
7179,159,Monocyte,0.0016005806184760107
7180,159,Myeloid,0.06539614723479004
7181,159,NKcell,0.02969814160183415
7182,159,Naive_Tcell,0.011577002996618013
7183,159,Neutrophil,0.003218574150214537
7184,159,OS_effect,0.0007005156070295504
7185,159,PLFcell,0.006434518798383415
7186,159,Pancreatic,0.036476700745560864
7187,159,Platelet,0.024313614707645592
7188,159,Pneumocyte,0.031183998561483017
7189,159,Stem,0.018154631323041848
7190,159,Stroma,0.00013824581471388875
7191,159,TGFb_pathway,0.0648679439117168
7192,159,TLS,0.00757180345937869
7193,159,TMB,0.10880700412937372
7194,159,Tcell_exclusion,0.0431737770591204
7195,159,Tcell_general,0.0001419723824888086
7196,159,Treg,0.0010730892768517908
7197,159,cDC,0.0027802698507514156
7198,159,pDC,0.0013984568849790824
7199,159,Reference,0.0476233630972579
7200,160,Adipocyte,0.001321562648725183
7201,160,Apoptosis_pathway,0.03538693929214931
7202,160,Bcell,0.002294213101306286
7203,160,CD4_Tcell,0.00037169153516303233
7204,160,CD8_Tcell,0.16283865382361573
