Index,CANCER,Adipocyte,Apoptosis_pathway,Bcell,CD4_Tcell,CD8_Tcell,CPI_Response,CPI_effect,Cytokine_chemokine,Cytotoxic_Tcell,Endothelial,Epithelial,Erythrocyte,Exhausted_Tcell,Fibroblast,Granulocyte,Hepatocyte,IFNg_pathway,Immune_checkpoint,Immune_score,Innate_lymphoid_cell,Macrophage,Mast,Memory_Tcell,Mesothelial,Monocyte,Myeloid,NKcell,Naive_Tcell,Neutrophil,OS_effect,PLFcell,Pancreatic,Platelet,Pneumocyte,Stem,Stroma,TGFb_pathway,TLS,TMB,Tcell_exclusion,Tcell_general,Treg,cDC,pDC
IMVigor210-0a0f2b-ar-0a0f2ba,0.00025148774147965014,4.856558007304557e-05,0.009040534496307373,-0.006768874358385801,-0.014494400471448898,-0.03208160400390625,-0.008025203831493855,0.00028594888863153756,0.007836496457457542,0.00021509519137907773,-0.007850142195820808,0.013407011516392231,0.0026860982179641724,-0.02019684389233589,0.021401822566986084,0.012777498923242092,0.009747184813022614,0.004971845541149378,-0.005384204909205437,-0.02281489223241806,0.002443938283249736,0.013784851878881454,0.012156286276876926,-0.0084932716563344,-0.009583521634340286,0.0007997326902113855,0.01768794097006321,0.003793085925281048,-0.004278176464140415,-0.0002427640138193965,0.003961441107094288,0.010656542144715786,0.01402675174176693,0.00541281420737505,0.016795653849840164,-0.002033604308962822,-0.004820044152438641,-0.017651734873652458,-0.0006340959807857871,0.020347312092781067,-0.017054762691259384,0.00586495129391551,0.0015182285569608212,-0.0016767722554504871,-0.005224189721047878
IMVigor210-0a7c20-ar-0a7c209,3.192926669726148e-05,-0.00017800441128201783,0.0008820347720757127,-0.0008697555749677122,-0.0019197989022359252,-0.004089131951332092,-0.0009544299100525677,4.1998202505055815e-05,0.0010066557442769408,7.144092523958534e-05,-0.0009983638301491737,0.0023853005841374397,0.00028532056603580713,-0.002435934729874134,0.0025997182819992304,0.0014202651800587773,0.0012299793306738138,0.0006454579415731132,-0.0008074396173469722,-0.002947106258943677,0.0002191245002904907,0.0017304647481068969,0.0016437090234830976,-0.00127817178145051,-0.0014932197518646717,9.694437176221982e-05,0.0019834130071103573,0.0005166494520381093,-0.0005620433948934078,-4.141782847000286e-05,0.00044605747098103166,0.001494841417297721,0.0017981956480070949,0.0007055986789055169,0.0022818148136138916,-0.00021807306620758027,-0.0005779145285487175,-0.0023624366149306297,1.9460734620224684e-05,0.0024254578165709972,-0.0020228426437824965,0.0009010534849949181,0.00025076247402466834,-0.00019654589414130896,-0.0006179155316203833
IMVigor210-0bdb34-ar-0bdb342,8.13960468803998e-06,9.655702888267115e-05,0.00023618974955752492,-0.00022601915406994522,-0.0004381934704724699,-0.0010393114062026143,-0.00021194154396653175,9.217648766934872e-06,0.00028668835875578225,-1.879176670627203e-05,-0.000269424170255661,0.00042769231367856264,8.171550871338695e-05,-0.0006598139880225062,0.0006602759822271764,0.00038260058499872684,0.0003131477569695562,0.0001506432017777115,-0.00021499548165593296,-0.0007555553456768394,5.6093391322065145e-05,0.0004417767922859639,0.000382753845769912,-0.00026557542150840163,-0.000418768118834123,2.77723120234441e-05,0.0005697849555872381,0.00010866730008274317,-0.0001313484535785392,-1.917201188916806e-05,0.0001405116345267743,0.0003805166925303638,0.000367630273103714,0.00016048832912929356,0.0005849836161360145,-6.50763904559426e-05,-0.00012982432963326573,-0.0005945311859250069,-3.275046401540749e-05,0.000654985080473125,-0.0005510259652510285,0.0002077574172290042,5.29550998180639e-05,-5.1230388635303825e-05,-0.00015042776067275554
IMVigor210-0ce9c9-ar-0ce9c98,1.9736913600354455e-05,0.0002851886092685163,0.0005281363264657557,-0.0005122669390402734,-0.0011330533307045698,-0.002511186758056283,-0.0005956810200586915,2.384923936915584e-05,0.0006252940511330962,0.00021367681620176882,-0.0006494526751339436,0.001017158036120236,0.0001947400305652991,-0.0014050652971491218,0.001564509584568441,0.0007320452714338899,0.0008428459987044334,0.0004084478714503348,-0.0005412007449194789,-0.0017772663850337267,0.00023887927818577737,0.0011120064882561564,0.0007781825261190534,-0.0007839164463803172,-0.0011172204976901412,7.285705942194909e-05,0.0012589647667482495,0.0002814998442772776,-0.0003569865075405687,-2.6521756808506325e-05,0.0002785962715279311,0.0009401665884070098,0.0010025325464084744,0.0004586659779306501,0.0013928470434620976,-0.00017392882728017867,-0.00029966901638545096,-0.0014202119782567024,3.3174273994518444e-05,0.0016429841052740812,-0.0012863546144217253,0.0007106614648364484,0.00018737054779194295,-0.00012538609735202044,-0.0004577366344165057
IMVigor210-0d855c-ar-0d855cf,0.0009630729327909648,-0.00036888220347464085,0.03370102122426033,-0.02746574394404888,-0.05898888409137726,-0.1172451376914978,-0.02828301675617695,0.0010598042281344533,0.033300869166851044,0.0009448420605622232,-0.026626158505678177,0.0568268857896328,0.007077065762132406,-0.07595689594745636,0.07414551824331284,0.04446221888065338,0.036775682121515274,0.020886601880192757,-0.020683972164988518,-0.08937139064073563,0.011246473528444767,0.05267954617738724,0.04141801595687866,-0.03642623871564865,-0.04048248007893562,0.002879739971831441,0.058079686015844345,0.013926287181675434,-0.015648577362298965,-0.0005782970110885799,0.014655051752924919,0.04109732061624527,0.05568329989910126,0.029888778924942017,0.06944349408149719,-0.008672893978655338,-0.02471892349421978,-0.056334175169467926,-0.0022504234220832586,0.07789183408021927,-0.060591526329517365,0.0223284550011158,0.010096246376633644,-0.006447359453886747,-0.019637003540992737
IMVigor210-0f956e-ar-0f956e7,4.0178143535740674e-05,0.00043014317634515464,0.0011548168258741498,-0.0010570232989266515,-0.002161286538466811,-0.004804900381714106,-0.0011184739414602518,5.035346475779079e-05,0.00127686548512429,2.742216565820854e-05,-0.0012661886867135763,0.0021123054903000593,0.0003922154719475657,-0.0031249469611793756,0.0037242851685732603,0.0016303828451782465,0.0015249087009578943,0.0007919087656773627,-0.001096667954698205,-0.0038626552559435368,0.0003051979292649776,0.0022116524633020163,0.00188100163359195,-0.0017379807541146874,-0.0018205521628260612,0.00013220291293691844,0.002989794360473752,0.0004914385499432683,-0.0006504561170004308,-9.734273771755397e-05,0.0005575271206907928,0.0018958874279633164,0.002132306806743145,0.0008711418486200273,0.002875673118978739,-0.0003039806033484638,-0.0005632670945487916,-0.00292634847573936,-1.7119467656812049e-06,0.003086760640144348,-0.002812806284055114,0.0012242437805980444,0.0002906706358771771,-0.0002469723403919488,-0.0008146098116412759
IMVigor210-110501-ar-110501d,0.0005851611495018005,0.005710302386432886,0.018070697784423828,-0.01677098125219345,-0.03855124115943909,-0.07365922629833221,-0.01809445396065712,0.0006756659713573754,0.018840232864022255,0.0014019709778949618,-0.017178703099489212,0.03439883142709732,0.0052001457661390305,-0.04244963824748993,0.050807490944862366,0.023001834750175476,0.022495560348033905,0.012007080018520355,-0.015142478048801422,-0.055264439433813095,0.004889016505330801,0.032561857253313065,0.025205617770552635,-0.02138010784983635,-0.023382393643260002,0.0020347433164715767,0.041284605860710144,0.011443487368524075,-0.009670240804553032,-0.0012880556751042604,0.008373884484171867,0.02854561060667038,0.031162474304437637,0.013104017823934555,0.04030872881412506,-0.004777776543051004,-0.011757141910493374,-0.03753292188048363,0.00013116846093907952,0.046900395303964615,-0.03823593631386757,0.016893286257982254,0.006259537301957607,-0.003089062636718154,-0.014067308977246284
IMVigor210-12502d-ar-12502d9,2.1401705453172326e-05,-1.1755993000406306e-05,0.0006454439135268331,-0.0006033417885191739,-0.0012663612142205238,-0.0026749169919639826,-0.0006425774772651494,2.6345283913542517e-05,0.0007013342110440135,-1.8950975572806783e-05,-0.0007085994584485888,0.0014338971814140677,0.00019775483815465122,-0.0016131687443703413,0.001778332283720374,0.0008378223865292966,0.000824600225314498,0.0004477227048482746,-0.0006035990663804114,-0.001998318824917078,0.0002633795083966106,0.0011757886968553066,0.000894077296834439,-0.0007392715779133141,-0.000891487521585077,6.522578041767702e-05,0.001280090189538896,0.00029966048896312714,-0.0003585251106414944,-1.7030255548888817e-05,0.0003186467511113733,0.000996207818388939,0.000987607752904296,0.0004873105208389461,0.0014737035380676389,-0.00017190563085023314,-0.00041657875408418477,-0.0014717438025400043,-5.607401908491738e-05,0.001771423383615911,-0.0014863885007798672,0.0006837653345428407,0.00015938175783958286,-0.00014783556980546564,-0.0004626662121154368
IMVigor210-149386-ar-1493861,0.005282520316541195,0.026488466188311577,0.14596836268901825,-0.15089616179466248,-0.33321720361709595,-0.5968911647796631,-0.15547272562980652,0.0062508671544492245,0.1732093095779419,0.02514331229031086,-0.16804878413677216,0.26499566435813904,0.049893174320459366,-0.37166479229927063,0.48106318712234497,0.1899574249982834,0.20480287075042725,0.10844872146844864,-0.13041943311691284,-0.477948933839798,0.049071311950683594,0.2984345853328705,0.22140008211135864,-0.18382073938846588,-0.18577593564987183,0.01855299063026905,0.4729718267917633,0.07470949739217758,-0.0813731998205185,-0.011918737553060055,0.07800541073083878,0.22373917698860168,0.2436504065990448,0.136763796210289,0.3842346668243408,-0.045110736042261124,-0.10092780739068985,-0.33347848057746887,0.007609650492668152,0.44584351778030396,-0.32902592420578003,0.16338977217674255,0.04605104774236679,-0.03417598456144333,-0.11471771448850632
IMVigor210-14df63-ar-14df63a,0.0032593950163573027,0.04724166542291641,0.09978591650724411,-0.09347857534885406,-0.19667111337184906,-0.40273088216781616,-0.09825430810451508,0.0035058027133345604,0.1092894971370697,-0.010858925059437752,-0.09302979707717896,0.21571728587150574,0.0328974574804306,-0.23595896363258362,0.25741809606552124,0.15246830880641937,0.12549707293510437,0.06569597125053406,-0.07831396162509918,-0.2862129807472229,0.03601658344268799,0.176916241645813,0.15496022999286652,-0.10857296735048294,-0.13527759909629822,0.010591668076813221,0.2510541081428528,0.04667174443602562,-0.052009183913469315,-0.007168959826231003,0.05516071617603302,0.1502818465232849,0.15978558361530304,0.07626774162054062,0.21274711191654205,-0.027661634609103203,-0.06850504875183105,-0.22969955205917358,-0.0038997253868728876,0.26778993010520935,-0.21358761191368103,0.08391477167606354,0.03592422232031822,-0.020616455003619194,-0.06712862104177475
IMVigor210-166a41-ar-166a419,8.547166362404823e-05,0.0010592493927106261,0.0025503013748675585,-0.0023402574006468058,-0.004674004390835762,-0.010953173041343689,-0.002483849646523595,0.00010115586337633431,0.002634074306115508,0.000727937207557261,-0.0025138675700873137,0.005315878428518772,0.0008063031709752977,-0.006403781473636627,0.007506906054913998,0.0031510626431554556,0.003294260473921895,0.0017567068571224809,-0.0022187947761267424,-0.007874282076954842,0.0005896453512832522,0.004806801211088896,0.0035970406606793404,-0.0029549289029091597,-0.004511725157499313,0.000266785966232419,0.00598614476621151,0.0013780894223600626,-0.0015382025158032775,-7.829053356545046e-05,0.0013188461307436228,0.004445312544703484,0.004098375327885151,0.001999566564336419,0.005580609664320946,-0.0006972654373385012,-0.0010186515282839537,-0.007152781821787357,1.1254162927798461e-05,0.006920221261680126,-0.005531442817300558,0.002767579397186637,0.0005979808047413826,-0.000503575021866709,-0.0017989843618124723
IMVigor210-180398-ar-1803982,0.00021183503849897534,0.0017146386671811342,0.006080413702875376,-0.006082191132009029,-0.013100928626954556,-0.02625035122036934,-0.007732099387794733,0.00024147919612005353,0.007695959880948067,-9.412177314516157e-05,-0.0057693528942763805,0.011301732622087002,0.0017254612175747752,-0.016218869015574455,0.017017163336277008,0.009428836405277252,0.008126866072416306,0.004474553279578686,-0.006475614849478006,-0.020790841430425644,0.002235786523669958,0.010819396004080772,0.009482784196734428,-0.007131581660360098,-0.008005763404071331,0.000770926068071276,0.014679462648928165,0.003662239061668515,-0.0032035806216299534,-0.00045924726873636246,0.0035521064419299364,0.010076509788632393,0.010115525685250759,0.0067859492264688015,0.014035359025001526,-0.00168763124383986,-0.006323858164250851,-0.01299117412418127,-0.0007889873813837767,0.0174887515604496,-0.013222184032201767,0.005392394494265318,0.0022426804061979055,-0.001416394836269319,-0.0043344940058887005
IMVigor210-181b63-ar-181b638,3.289434971520677e-05,0.00014575364184565842,0.0009940019808709621,-0.0008440313395112753,-0.0017591490177437663,-0.004269937984645367,-0.0010252805659547448,4.2617699364200234e-05,0.0010181564139202237,0.0003533611888997257,-0.0009969675447791815,0.0018614555010572076,0.00033699837513267994,-0.0024127759970724583,0.0029433215968310833,0.0013347375206649303,0.001276543946005404,0.0006802214193157852,-0.0010112823219969869,-0.0031220733653753996,0.0002560438879299909,0.0019136775517836213,0.0013581503881141543,-0.001138505176641047,-0.0014268031809478998,0.00011452539911260828,0.0020344017539173365,0.00046847789781168103,-0.0005960781709291041,-3.0232456992962398e-05,0.0004755960835609585,0.0016181537648662925,0.001848679268732667,0.0006614340236410499,0.0020947903394699097,-0.0002734688750933856,-0.0005870992899872363,-0.0024262499064207077,-2.5842240575002506e-05,0.0025046474765986204,-0.0022298297844827175,0.001109560951590538,0.0002859656815417111,-0.00020193075761198997,-0.0006874256650917232
IMVigor210-187e05-ar-187e056,9.20794191188179e-05,0.0008433973998762667,0.002914768410846591,-0.002451318548992276,-0.005001791287213564,-0.011776604689657688,-0.0027561141178011894,0.00011773052392527461,0.002827937016263604,0.0002688950626179576,-0.0033929944038391113,0.006560836918652058,0.0009052877430804074,-0.007239994127303362,0.007797924801707268,0.0036272723227739334,0.0035242196172475815,0.0018076064297929406,-0.0024737128987908363,-0.008868844248354435,0.0009388510370627046,0.005039008799940348,0.004094283562153578,-0.003348319325596094,-0.003974289167672396,0.0003310217580292374,0.006810639053583145,0.0011257765581831336,-0.0015930344816297293,-0.0001989665615838021,0.0014397921040654182,0.0042749810963869095,0.004369074944406748,0.001983333146199584,0.006592821329832077,-0.0007172878831624985,-0.0016638260567560792,-0.0065415953285992146,-7.172561890911311e-05,0.007488882169127464,-0.0065198494121432304,0.002470866311341524,0.0007138240616768599,-0.0005443315603770316,-0.002077345736324787
IMVigor210-18a4da-ar-18a4dab,0.003173402976244688,-0.006159262731671333,0.09337067604064941,-0.08943746984004974,-0.22291699051856995,-0.3543415665626526,-0.09800221771001816,0.003785946872085333,0.11367122828960419,0.02824898064136505,-0.08795561641454697,0.20059160888195038,0.027304595336318016,-0.21042168140411377,0.26675161719322205,0.15358883142471313,0.12048649787902832,0.06648377329111099,-0.08195145428180695,-0.2948264479637146,0.021675102412700653,0.18135426938533783,0.16861918568611145,-0.12605632841587067,-0.11609760671854019,0.010768930427730083,0.24000318348407745,0.04047185927629471,-0.04661749675869942,-0.0026654633693397045,0.04815123975276947,0.16412103176116943,0.1672307252883911,0.0817093551158905,0.2292608916759491,-0.022722136229276657,-0.09393679350614548,-0.16188326478004456,-0.0017579717095941305,0.2539038062095642,-0.2159433364868164,0.09164654463529587,0.027355100959539413,-0.02059520222246647,-0.08108043670654297
IMVigor210-18b935-ar-18b9351,7.551503222202882e-05,0.00044358099694363773,0.002311377553269267,-0.001897296984679997,-0.004085215739905834,-0.009132785722613335,-0.002348001580685377,9.890505316434428e-05,0.002177179791033268,0.0010594588238745928,-0.0026534239295870066,0.003483746200799942,0.0007650683401152492,-0.004890524782240391,0.006707438733428717,0.002872000215575099,0.0031827734783291817,0.0014989471528679132,-0.0018867679173126817,-0.006932550109922886,0.0006318056839518249,0.004070336930453777,0.003158190520480275,-0.0028945389203727245,-0.0039992304518818855,0.0002645254717208445,0.005436367355287075,0.0009057152783498168,-0.0013034897856414318,-0.0001441941858502105,0.0010516942711547017,0.0034761803690344095,0.003960322123020887,0.0019223627168685198,0.00462720962241292,-0.0006486317724920809,-0.0012262244708836079,-0.0048957946710288525,-1.801489452191163e-05,0.005982754752039909,-0.004730928689241409,0.0028174675535410643,0.0006664081593044102,-0.0004325847839936614,-0.0018797207158058882
IMVigor210-18bc10-ar-18bc107,0.005640598479658365,0.041875969618558884,0.14624500274658203,-0.1590449959039688,-0.3725150525569916,-0.6445601582527161,-0.17132949829101562,0.007136722560971975,0.19825205206871033,0.03160467743873596,-0.17623302340507507,0.3177412152290344,0.0506950281560421,-0.39142388105392456,0.49138981103897095,0.23261643946170807,0.21716932952404022,0.11926396191120148,-0.1380482017993927,-0.5211739540100098,0.057549700140953064,0.3202893137931824,0.2429560124874115,-0.21267665922641754,-0.21574057638645172,0.020486483350396156,0.48835065960884094,0.0924711748957634,-0.09383618831634521,-0.014859076589345932,0.08318299055099487,0.2978018820285797,0.2853034734725952,0.14437279105186462,0.3977759778499603,-0.04307325556874275,-0.10853371024131775,-0.3290919363498688,0.004556120838969946,0.47063538432121277,-0.3648689389228821,0.18822081387043,0.05393791198730469,-0.03212018311023712,-0.1196342408657074
IMVigor210-18be5b-ar-18be5b3,0.0020915165077894926,0.013751921243965626,0.06999481469392776,-0.05936300382018089,-0.12211699038743973,-0.2700841426849365,-0.06784749776124954,0.0024950343649834394,0.07214851677417755,0.008213043212890625,-0.061030492186546326,0.09999914467334747,0.018946224823594093,-0.16662760078907013,0.17924025654792786,0.09711650758981705,0.08028984814882278,0.04522157832980156,-0.050447236746549606,-0.19629628956317902,0.018005026504397392,0.1204824224114418,0.08793099969625473,-0.07148148119449615,-0.09247931838035583,0.006942882668226957,0.16271837055683136,0.036337122321128845,-0.03560132160782814,-0.003763932269066572,0.0338410884141922,0.08924327790737152,0.11004327237606049,0.05736871808767319,0.15012937784194946,-0.014418286271393299,-0.042395882308483124,-0.12206244468688965,-0.003144798567518592,0.16753730177879333,-0.1408100575208664,0.05518648400902748,0.019126463681459427,-0.012783234938979149,-0.043510060757398605
